prod,f,L,Lfix,vorig,uorig,worig
1.112826,0.934369,1,1,0.0090196,0.0746506,0.8106189
1.092817,0.9330034,1,1,0.0085857,0.0755823,0.8102471
1.082054,0.9311866,1,1,0.0081162,0.0769296,0.8100057
1.08356,0.9290124,1,1,0.0076569,0.0786445,0.8097938
1.094306,0.9266169,1,1,0.0073033,0.0806864,0.8098466
1.103699,0.9242758,1,1,0.0071482,0.0828724,0.8100711
1.112844,0.9222249,1,1,0.0072064,0.0849815,0.8100795
1.125144,0.920704,1,1,0.0074218,0.0867178,0.8096663
1.137158,0.9199479,1,0.999658,0.0077137,0.0877658,0.809015
1.154302,0.9200834,1,0.9983062,0.0080211,0.0879377,0.8082756
1.178835,0.9210302,1,0.9959768,0.0083672,0.087337,0.8074562
1.192711,0.9225218,1,0.9930987,0.0087713,0.0862495,0.8068793
1.196051,0.924191,1,0.9900358,0.0092646,0.0850736,0.8065244
1.193265,0.9258659,1,0.9870391,0.0098827,0.0840168,0.8067945
1.189711,0.9275092,1,0.984385,0.0106132,0.083104,0.8071206
1.186483,0.9290406,1,0.9824451,0.0113562,0.0823156,0.8070615
1.183964,0.9303586,1,0.9814161,0.0120094,0.0816508,0.8068289
1.185055,0.9314367,1,0.9810137,0.0125278,0.0810911,0.8065925
1.191691,0.9322733,1,0.9808943,0.0129377,0.0806644,0.8063992
1.203754,0.9329753,1,0.9807961,0.0132737,0.0802984,0.8062631
1.212431,0.9337846,1,0.9806509,0.0135876,0.079803,0.8060482
1.219161,0.93493,1,0.9805102,0.0139162,0.0789862,0.8059002
1.226947,0.9363818,1,0.9803364,0.0143046,0.0779228,0.8058631
1.233633,0.9379816,1,0.9801416,0.014783,0.0768014,0.8056759
1.242115,0.9394416,1,0.979984,0.0153613,0.0759197,0.8050645
1.253655,0.9405906,1,0.9799351,0.0159669,0.0753763,0.8051631
1.259402,0.9414578,1,0.9800169,0.0165421,0.0750843,0.8058877
1.258848,0.9420547,1,0.9801962,0.0170302,0.0749755,0.8067304
1.254083,0.942378,1,0.9804564,0.0173856,0.0750076,0.8074502
1.25035,0.9424681,1,0.980885,0.0176011,0.075133,0.8077666
1.247809,0.9422624,1,0.9815779,0.0176669,0.0754045,0.8080184
1.247809,0.9417161,1,0.9826584,0.0175835,0.0758674,0.8081378
1.247809,0.940988,1,0.9841173,0.0174099,0.0764219,0.8077422
1.247809,0.9402929,1,0.9857577,0.0172158,0.0769229,0.8077422
