Countries,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
Australia,1,1.015554036,1.03453422,1.056833274,1.080196987,1.09705646,1.111702533,1.127296071,1.143538352,1.157437993,1.171305426,1.185941255,1.203840308,1.219977689,1.236177273,1.248286557,1.272911124,1.288773305,1.30387922,1.318712884,1.33303647,1.347308918,1.362091689,1.37713958,1.392500944,1.409297804
Austria,1,1.001606282,1.002699687,1.005916775,1.008007813,1.012067766,1.019533793,1.024383514,1.030926834,1.039490985,1.050659642,1.063704785,1.070236109,1.074218579,1.077336749,1.079653548,1.080112739,1.07885021,1.07685632,1.073932249,1.070293729,1.065849904,1.060637549,1.054998256,1.049172139,1.043612884
Belgium,1,1.008078543,1.017731374,1.026850061,1.035047427,1.044625254,1.052894906,1.05745209,1.060221648,1.062083159,1.064400133,1.066811781,1.06890918,1.071038244,1.073332988,1.075093427,1.072420144,1.072117888,1.072150033,1.071781729,1.071336021,1.071038403,1.070609488,1.069920377,1.068928051,1.068114679
Canada,1,1.01173514,1.022732586,1.033869345,1.046020489,1.058234691,1.067623935,1.076667128,1.08508624,1.092685251,1.096141535,1.103334166,1.111703814,1.123085413,1.135009033,1.142578375,1.138417836,1.14235214,1.145854812,1.14950136,1.1527262,1.156089955,1.160371549,1.164811905,1.169698776,1.175473719
Chile,1,1.015837292,1.032301723,1.049922795,1.068658119,1.08733278,1.106774073,1.12520948,1.14131248,1.157301377,1.172411877,1.187336987,1.207092221,1.232780039,1.259998572,1.285681078,1.299449865,1.306386847,1.310853841,1.31409928,1.316381435,1.318079586,1.319682544,1.32153315,1.323668056,1.325662618
Colombia,1,1.020351515,1.040566145,1.060970329,1.081454903,1.101959321,1.122974103,1.143924644,1.164729631,1.185138391,1.205039251,1.22411127,1.242614096,1.260415903,1.277458741,1.293662838,1.304471128,1.30912319,1.310601922,1.31291988,1.318592451,1.328486538,1.336387613,1.34414815,1.353990756,1.366976421
Costa Rica,1,1.029861463,1.056963931,1.083191399,1.110154344,1.136946712,1.162077558,1.186648823,1.210858053,1.233773538,1.256020709,1.277182214,1.29616177,1.313618883,1.32996542,1.346215995,1.360981641,1.373715274,1.384048719,1.394697235,1.403697836,1.411843086,1.419839532,1.428637511,1.437344276,1.445221343
Czech Republic,1,1.005388741,1.012492205,1.023054422,1.026961682,1.026493989,1.017485311,1.011906229,1.004706085,0.998717621,0.991648902,0.983598269,0.975364396,0.969388319,0.964770003,0.960085218,0.95493123,0.950007463,0.945678584,0.94240715,0.940064456,0.938284927,0.937300143,0.936204025,0.934058016,0.931821519
Denmark,1,1.000324871,1.000891179,1.00200393,1.00240979,1.000480735,0.998349974,0.99678002,0.998212141,1.00254854,1.009841782,1.01738288,1.023340882,1.026753706,1.030105407,1.028968207,1.03112953,1.032149679,1.03382721,1.035336041,1.036244335,1.036631246,1.036547507,1.035450036,1.033155464,1.029918064
Estonia,1,0.994183565,0.990696143,0.992848346,0.997164945,0.999786609,0.997885598,0.992358156,0.985245522,0.976833031,0.970454462,0.964677048,0.95925813,0.957013255,0.954401346,0.949723811,0.944901169,0.938999378,0.932946384,0.926829982,0.921163531,0.916210416,0.912496189,0.910330573,0.908745382,0.907569901
