dw,fw,u,v
14.892117,12.649326,.70211172,.15631349
14.898884,12.647505,.73717451,.16519631
14.902396,12.670086,.73446649,.16750634
14.90101,12.685575,.7232492,.17012703
14.909241,12.69883,.73618752,.06309294
14.90901,12.702957,.72836518,.11350908
14.914985,12.69574,.75450474,.030401565
14.916264,12.684754,.75480235,-.056541786
14.920984,12.678975,.74098712,-.0072940718
14.925023,12.668922,.69371241,.22913107
14.930406,12.666076,.67543554,.18854696
14.928922,12.661155,.6366812,.27939245
14.933223,12.666278,.72754121,.21662372
14.931787,12.6697,.705562,.37195724
14.935513,12.675924,.72273654,.47302654
14.934756,12.694774,.7456789,.47839132
14.935917,12.711558,.72588116,.42025015
14.934233,12.722049,.68416876,.35053006
14.937399,12.734522,.73170948,.29767394
14.940031,12.737154,.69586301,.27119812
14.937882,12.743336,.66547507,.22483061
14.942912,12.750137,.64198303,.076475404
14.946284,12.7511,.5819698,.39613178
14.946262,12.75122,.57255471,.3935172
14.949192,12.750922,.64240831,.4030259
14.953576,12.74861,.63070577,.46642947
14.956866,12.753956,.65072662,.55102891
14.960802,12.779158,.68165922,.49019054
14.959787,12.802217,.65065062,.45043695
14.964509,12.810415,.65957797,.32051095
14.969055,12.823127,.72685462,.21933439
14.967974,12.838224,.71083558,.22040935
14.971275,12.837195,.70742524,.19796863
14.975801,12.841131,.67267501,.32211709
14.976454,12.848546,.62517804,.24981441
14.979355,12.850654,.62264431,.24939246
14.98,12.850931,.71809256,.22533061
14.979255,12.847957,.72116584,.33137882
14.981379,12.847491,.77345264,.40555587
14.980973,12.853408,.78195214,.44920969
14.978029,12.862225,.74213314,.35686779
14.978969,12.868556,.78592229,.18700448
14.980534,12.878464,.83048373,.10477642
14.980278,12.876392,.79687142,.16999228
14.981286,12.880651,.78905803,.29229477
14.984968,12.8789,.74775308,.33322847
14.986818,12.873393,.70154113,.22874422
14.992817,12.870026,.68449926,.24225713
14.991675,12.863787,.78272074,.17054015
14.98888,12.852542,.80769289,.28983763
14.989501,12.846235,.85529631,.38141081
14.988576,12.852914,.83572149,.37575549
14.988255,12.85617,.85443032,.37698963
14.987535,12.864479,.8639133,.31576693
14.987729,12.870325,.89360315,.25927985
14.98835,12.872004,.90989214,.29216295
14.990009,12.877979,.85909528,.353618
14.992633,12.874986,.76303315,.35382229
14.995229,12.872175,.76686406,.27323949
14.996749,12.868047,.71849424,.33001
14.996869,12.851389,.76123673,.20470177
14.996883,12.833925,.79648113,.3977581
14.997961,12.825513,.80771595,.46129799
14.997826,12.829818,.76918727,.39984763
14.996092,12.8318,.78438091,.41393551
14.994431,12.841222,.7942062,.43745348
14.993406,12.850948,.81181169,.3291713
14.994001,12.848942,.83526158,.35207409
14.999294,12.858039,.83271796,.34323817
14.99896,12.859182,.6778546,.3501384
15.001688,12.862275,.73533851,.23924476
15.002722,12.870206,.68088561,.33925775
15.017645,12.872643,.78385878,.29069924
15.015212,12.865452,.79435736,.37225673
15.015229,12.868326,.84035265,.42726991
15.014305,12.872222,.86769372,.43615192
15.01464,12.872734,.8998028,.43874276
15.014079,12.879123,.88504684,.3617411
15.014091,12.88287,.9253155,.37706438
15.016053,12.882212,.92135561,.42503667
15.013499,12.887126,.84129077,.41231647
15.018267,12.890483,.83517051,.32480192
15.020215,12.8901,.79342926,.29265586
15.018914,12.89187,.75528216,.21564144
15.021353,12.886754,.8797974,.1413891
15.021066,12.878922,.84225041,.12689151
15.021467,12.876472,.90480137,.12096441
15.022477,12.882874,.94188619,.12315673
15.021759,12.87816,.94448996,.15208419
15.020417,12.880021,.91943365,.094889738
15.019604,12.880969,.97579277,.14144643
15.021025,12.878339,.94747227,.083831362
15.020795,12.879411,.90948224,.06937328
15.023885,12.874309,.8639558,.09620636
15.024486,12.862357,.85622108,-.039275851
15.025124,12.849059,.85011744,.026303118
15.024096,12.851027,.94584846,-.048623949
15.024306,12.821938,.98765653,-.057628222
15.023898,12.794668,1.0468534,-.19123104
15.014042,12.780828,1.103749,-.36798963
15.010335,12.765384,1.1735854,-.37686524
15.007792,12.754615,1.2606053,-.28036624
15.009941,12.742043,1.3123003,-.17511772
15.010795,12.731974,1.3011649,-.040472709
15.013762,12.71926,1.3071591,-.13174172
15.014783,12.707138,1.2511601,-.068937503
15.016743,12.696723,1.1864907,-.036963549
15.016523,12.688663,1.1486232,-.054432053
15.017342,12.683144,1.1630659,-.036557406
15.016757,12.677756,1.1622496,.14354448
15.020908,12.670278,1.1841902,.27170271
15.022057,12.663119,1.1555386,.33761954
15.022706,12.660026,1.1200284,.31681842
15.022831,12.65993,1.1261632,.35568056
15.023973,12.657891,1.1225795,.35335621
15.024917,12.653674,1.101312,.40057608
15.027937,12.653648,1.0669546,.40108261
15.027799,12.651533,1.0040222,.42364499
15.03101,12.648804,.9155339,.39868221
15.028996,12.646152,.87741554,.51750147
15.030046,12.645502,.93924826,.54728353
15.031859,12.647346,.93668115,.58968318
15.035302,12.650546,.9872008,.63689065
15.035538,12.650546,.98889703,.63079369
15.037063,12.650546,.98236305,.65015543
