fw,dw,u,v,prod
12.850931,14.98,.87800205,.22533061,4.5808773
12.847957,14.979255,.91145056,.33137882,4.6111522
12.847491,14.981379,.90199494,.40555587,4.5880241
12.853408,14.980973,.91182983,.44920969,4.6001577
12.862225,14.978029,.90187532,.35686779,4.5849676
12.868556,14.978969,.94300199,.18700448,4.6041698
12.878464,14.980534,1.0136364,.10477642,4.5941091
12.876392,14.980278,.94132084,.16999228,4.623992
12.880651,14.981286,.8492552,.29229477,4.6356993
12.8789,14.984968,.78926021,.33322847,4.6180863
12.873393,14.986818,.9102453,.22874422,4.6121459
12.870026,14.992817,.89255196,.24225713,4.6061697
12.863787,14.991675,.96262413,.17054015,4.59512
12.852542,14.98888,1.0938271,.28983763,4.6131382
12.846235,14.989501,1.1217138,.38141081,4.6151204
12.852914,14.988576,1.0394888,.37575549,4.6051702
12.85617,14.988255,1.0143274,.37698963,4.6405373
12.864479,14.987535,.81443256,.31576693,4.6424661
12.870325,14.987729,.95555449,.25927985,4.6327853
12.872004,14.98835,1.0556258,.29216295,4.6151204
12.877979,14.990009,1.0044411,.353618,4.6190729
12.874986,14.992633,1.0703483,.35382229,4.6111522
12.872175,14.995229,.94093496,.27323949,4.6568136
12.868047,14.996749,.84059215,.33001,4.6472712
12.851389,14.996869,.9058674,.20470177,4.6700211
12.833925,14.996883,.9019686,.3977581,4.6520538
12.825513,14.997961,1.0070301,.46129799,4.6672058
12.829818,14.997826,1.0057342,.39984763,4.6482296
12.8318,14.996092,.86498779,.41393551,4.6577625
12.841222,14.994431,.77545965,.43745348,4.6463122
12.850948,14.993406,.79519367,.3291713,4.6482296
12.848942,14.994001,.87452042,.35207409,4.6530075
12.858039,14.999294,.78631324,.34323817,4.6568136
12.859182,14.99896,.81587887,.3501384,4.660605
12.862275,15.001688,.90627843,.23924476,4.6558633
12.870206,15.002722,.85005051,.33925775,4.6318121
12.872643,15.017645,.90843958,.29069924,4.6539602
12.865452,15.015212,.91624713,.37225673,4.6624951
12.868326,15.015229,.99174392,.42726991,4.6482296
12.872222,15.014305,1.0378494,.43615192,4.6737628
12.872734,15.01464,1.0135401,.43874276,4.6830568
12.879123,15.014079,.94444972,.3617411,4.6858282
12.88287,15.014091,1.078052,.37706438,4.6802778
12.882212,15.016053,1.1545196,.42503667,4.6904302
12.887126,15.013499,1.061509,.41231647,4.6653242
12.890483,15.018267,1.0232768,.32480192,4.6774907
12.8901,15.020215,1.0529362,.29265586,4.658711
12.89187,15.018914,1.0142273,.21564144,4.6405373
12.886754,15.021353,1.0589428,.1413891,4.6558633
12.878922,15.021066,1.0916339,.12689151,4.623992
12.876472,15.021467,1.0045214,.12096441,4.6434288
12.882874,15.022477,.9939748,.12315673,4.6624951
12.87816,15.021759,.99558389,.15208419,4.660605
12.880021,15.020417,.89468867,.094889738,4.6662655
12.880969,15.019604,.97209507,.14144643,4.6876712
12.878339,15.021025,.75077581,.083831362,4.6681452
12.879411,15.020795,1.0389118,.06937328,4.6830568
12.874309,15.023885,.85229611,.09620636,4.6737628
12.862357,15.024486,.76164937,-.039275851,4.6774907
12.849059,15.025124,.84196407,.026303118,4.7059202
12.851027,15.024096,.90934747,-.048623949,4.6867499
12.821938,15.024306,1.0164249,-.057628222,4.6577625
12.794668,15.023898,1.0049003,-.19123104,4.6986604
12.780828,15.014042,.92278045,-.36798963,4.6415019
12.765384,15.010335,1.1893119,-.37686524,4.5633059
12.754615,15.007792,1.11726,-.28036624,4.6386051
12.742043,15.009941,1.0019171,-.17511772,4.6615505
12.731974,15.010795,.63703281,-.040472709,4.6653242
12.71926,15.013762,.89421731,-.13174172,4.6986604
12.707138,15.014783,.9940359,-.068937503,4.692265
12.696723,15.016743,.91849309,-.036963549,4.6968374
12.688663,15.016523,.94807315,-.054432053,4.7131271
12.683144,15.017342,.9508394,-.036557406,4.7176056
12.677756,15.016757,.87641364,.14354448,4.7518644
12.670278,15.020908,.78234279,.27170271,4.7458014
12.663119,15.022057,.76075071,.33761954,4.729156
12.660026,15.022706,.80867338,.31681842,4.7256165
12.65993,15.022831,.78512049,.35568056,4.7405748
12.657891,15.023973,.66213572,.35335621,4.7414479
12.653674,15.024917,.54815382,.40057608,4.7535901
12.653648,15.027937,.61807066,.40108261,4.7265024
12.651533,15.027799,.70556915,.42364499,4.7300391
12.648804,15.03101,.63251942,.39868221,4.7475376
12.646152,15.028996,.57839215,.51750147,4.7816415
12.645502,15.030046,.66124052,.54728353,4.7849884
12.647346,15.031859,.67623752,.58968318,4.7874918
12.650546,15.035302,.52695739,.63689065,4.7999144
