FW,DW,prod,u,v
311553.5207,2934703.479,98.844,1.846413255,1.169192704
310986.5366,2954628.463,101.875,1.913708572,1.179624665
318088.9045,2965026.096,98.72,1.908423092,1.182352735
323053.9815,2960916.019,99.787,1.886687307,1.185455409
327364.3909,2985389.609,100.7,1.911780496,1.065125874
328718.5552,2984701.445,98.604,1.896569134,1.120202087
326354.4544,3002586.546,98.266,1.94788942,1.030868375
322789.0763,3006427.924,96.712,1.94848193,0.945027014
320929.0904,3020655.91,97.677,1.921175448,0.992732491
317718.9468,3032879.053,99.515,1.830654254,1.257506869
316815.7105,3049247.289,100.44,1.796835074,1.20749374
315260.4431,3044727.557,101.253,1.727215986,1.322326151
316879.8084,3057851.192,102.04,1.894974019,1.24187676
317966.0102,3053464.99,100.432,1.852926802,1.450570989
319951.2392,3064863.761,98.594,1.885699949,1.604843987
326039.5359,3062543.464,98.795,1.930404809,1.613476784
331558.1255,3066100.875,98.938,1.891764489,1.522342295
335054.7018,3060939.298,99.24,1.812914663,1.419819941
339259.945,3070648.055,98.339,1.90305723,1.346722551
340153.9763,3078741.024,100.188,1.834676176,1.311534867
342263.209,3072131.791,98.56,1.778673295,1.25211055
344599.1235,3087622.877,100.222,1.736575629,1.079475628
344931.0018,3098053.998,99.94,1.63358053,1.486065144
344972.4262,3097985.574,102.196,1.617996127,1.482184796
344869.6875,3107073.312,102.561,1.73732862,1.496345681
344073.2534,3120725.747,101.396,1.716728916,1.594291617
345917.5141,3131010.486,101.711,1.752124124,1.735037366
354746.0022,3143357.998,101.619,1.808279158,1.632627275
363021.1389,3140170.861,98.758,1.751988414,1.568997646
366009.6575,3155030.342,101.844,1.768008835,1.37783155
370691.9241,3169407.076,102.774,1.893645822,1.245247661
376331.1294,3165980.871,99.332,1.862927867,1.246586975
375943.9448,3176451.055,98.731,1.856454074,1.218924134
377426.4691,3190859.531,97.272,1.791782711,1.38004633
380235.5282,3192942.472,98.324,1.70708522,1.28378715
381037.7601,3202220.24,101.442,1.702683357,1.283245583
381143.6584,3204286.342,97.6,1.876780394,1.252736771
380011.6226,3201900.377,100.6,1.882678324,1.392887374
379834.5785,3208706.421,98.3,1.985975255,1.500136128
382088.7425,3207405.258,99.5,2.003305652,1.567073242
385472.44,3197976.56,98,1.92342553,1.428846901
387920.6058,3200983.394,99.9,2.011453685,1.205632695
391783.1037,3205997.896,98.9,2.105266584,1.110462254
390972.5506,3205176.449,101.9,2.034100836,1.185295715
392640.7072,3208410.293,103.1,2.017913147,1.33949783
391953.8198,3220244.18,101.3,1.934499605,1.39546614
389801.4845,3226209.516,100.7,1.8453385,1.257020512
388491.3077,3245619.692,100.1,1.813526047,1.274121787
386075.0098,3241916.99,99,2.004880532,1.185945283
381758.0393,3232866.961,100.8,2.056740032,1.336210534
379357.935,3234876.065,101,2.15943115,1.464349016
381900.028,3231884.972,100,2.11658336,1.456091051
383145.3495,3230846.651,103.6,2.157516814,1.457889226
386342.3342,3228520.666,103.8,2.178573379,1.371310614
388607.4928,3229149.507,102.8,2.24586951,1.295996387
389260.4174,3231155.583,101,2.283691372,1.339321227
391593.4994,3236520.501,101.4,2.167849043,1.424211036
390422.7175,3245023.283,100.6,1.964938715,1.424501973
389326.967,3253456.033,105.3,1.972646422,1.314214983
387723.1174,3258405.883,104.3,1.87754999,1.390982052
381317.9996,3258797,106.7,1.961334731,1.227159032
374716.5583,3258846.442,104.8,2.033289188,1.488483893
371577.5743,3262358.426,106.4,2.056788655,1.586131401
373180.4808,3261915.519,104.4,1.977335814,1.491597471
373921.0599,3256265.94,105.4,2.00828639,1.512759536
377460.7482,3250865.252,104.2,2.028564346,1.548758298
381150.0566,3247531.943,104.4,2.065424379,1.389815917
380386.1717,3249465.828,104.9,2.115587264,1.4220139
383862.2469,3266711.753,105.3,2.11008625,1.409504368
384301.4798,3265618.52,105.7,1.801274424,1.419263984
385491.5814,3274540.419,105.2,1.910123372,1.27028944
388561.232,3277925.768,102.7,1.80685255,1.403905155
389509.2216,3327209.778,105,2.007214666,1.337362335
386718.4057,3319125.594,105.9,2.028877877,1.451005493
387831.5205,3319183.48,104.4,2.126641552,1.533066362
389345.2771,3316116.723,107.1,2.187026156,1.546743699
389544.6026,3317227.397,108.1,2.260188486,1.550756291
392041.4596,3315368.54,108.4,2.226259944,1.435827168
393513.0746,3315407.925,107.8,2.320105417,1.457998162
393254.328,3321917.672,108.9,2.310699861,1.529646541
395191.7087,3313445.291,106.2,2.128684776,1.510312279
396520.3924,3329279.608,107.5,2.115389936,1.383756509
396368.8482,3335772.152,105.5,2.026953116,1.339981528
397070.862,3331436.138,103.6,1.949437352,1.240657454
395044.6042,3339569.396,105.2,2.214316162,1.151872724
391962.6821,3338613.318,101.9,2.130777266,1.135293853
391003.2665,3339952.733,103.9,2.271801441,1.128584738
393515.185,3343327.815,105.9,2.359891801,1.131061701
391664.1,3340926.9,105.7,2.366206841,1.164258286
392393.7359,3336446.264,106.3,2.306148945,1.099537658
392765.8815,3333734.119,108.6,2.443497971,1.151938817
391734.3116,3338475.688,106.5,2.373461223,1.087445479
392154.19,3337706.81,108.1,2.282731692,1.071836189
390158.4567,3348035.543,107.1,2.178668353,1.100986198
385523.5108,3350050.489,107.5,2.161477112,0.961485437
380430.5067,3352187.493,110.6,2.148009437,1.026652071
381180.1878,3348744.812,108.5,1.66512517,0.95253926
370251.5084,3349448.492,105.4,1.738178079,0.94400086
360291.4427,3348081.557,109.8,1.847287476,0.825941727
355339.3921,3315243.608,103.7,1.958800005,0.692124385
349893.3364,3302976.664,95.9,2.105220005,0.686008536
346145.6754,3294588.325,103.4,2.303622017,0.755506994
341820.8784,3301677.122,105.8,2.430554648,0.839358221
338396.4732,3304497.527,106.2,2.402612868,0.960335382
334121.5316,3314314.468,109.8,2.417612369,0.876567384
330095.7188,3317702.281,109.1,2.281182237,0.933385017
326675.7174,3324210.283,109.6,2.13349061,0.963711274
324053.4028,3323482.597,111.4,2.051629374,0.947022867
322269.5578,3326200.442,111.9,2.082461964,0.964102761
320538.0136,3324257.986,115.8,2.080706575,1.154358159
318149.7617,3338085.238,115.1,2.12842227,1.312196836
315880.4632,3341920.537,113.2,2.066333297,1.40160714
314904.7603,3344092.24,112.8,1.991965558,1.372753244
314874.8622,3344512.138,114.5,2.004613614,1.427151597
314233.5285,3348331.472,114.6,1.997215066,1.423838212
312910.8794,3351494.121,116,1.953884464,1.492684351
312902.956,3361632.044,112.9,1.885918626,1.493440667
312241.6523,3361165.348,113.3,1.767663371,1.527519276
311390.7063,3371975.294,115.3,1.614131205,1.48986009
310566.3123,3365192.688,119.6,1.552273694,1.677830347
310566.3123,3365192.688,119.6,1.552273694,1.677830347
310566.3123,3365192.688,119.6,1.552273694,1.677830347
