indmc,ym660,ym661,ym662,ym663,ym664,ym665,ym666,ym667,ym668,ym669,ym670,ym671,ym672,ym673,ym674,ym675,ym676,ym677,ym678,ym679,ym680,ym681,ym682,ym683,ym684,ym685,ym686,ym687,ym688,ym689,ym690,ym691,ym692,ym693,ym694,ym695,ym696,ym697,ym698,ym699,ym700,ym701,ym702,ym703,ym704,ym705,ym706,ym707,ym708,ym709,ym710,ym711,ym712,ym713,ym714,ym715,ym716,ym717,ym718,ym719,ym720,ym721,ym722,ym723,ym724,ym725,ym726,ym727,ym728,ym729,ym730,ym731,ym732,ym733,ym734,ym735,ym736,ym737,ym738,ym739,ym740
10,148,55,111,372,345,347,337,139,303,186,63,326,207,62,119,550,335,470,257,313,359,154,82,311,127,54,229,292,223,303,274,113,402,249,130,322,298,82,201,413,350,384,408,198,240,368,78,316,215,100,267,497,191,412,341,121,330,280,74,409,157,65,51,1,0,9,22,5,7,16,19,26,27,20,41,61,51,63,63,63,63
11,2,1,0,1,3,2,2,1,4,0,0,6,0,1,2,10,10,6,0,5,2,1,1,3,2,0,6,10,5,2,0,0,7,4,1,1,4,2,4,4,1,4,1,0,7,2,0,6,4,0,2,10,0,3,1,1,6,7,0,6,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,171,86,62,213,325,289,397,166,278,196,110,319,293,59,110,371,330,498,381,378,410,179,103,329,187,66,177,257,244,400,289,143,242,225,137,285,237,54,159,208,253,306,315,223,184,256,85,265,179,104,157,271,181,317,223,152,235,188,35,287,106,62,32,0,4,4,11,2,3,12,12,14,9,18,33,32,10,17,17,17,17
14,24,4,2,25,38,51,40,15,38,29,6,29,43,4,20,57,30,55,39,27,37,12,9,48,29,4,21,43,22,37,33,19,22,31,10,30,19,13,19,23,44,28,38,20,16,29,12,18,19,16,29,37,11,32,30,25,16,16,5,25,13,11,4,0,0,1,2,1,0,3,2,0,1,2,5,4,6,4,4,4,4
15,15,4,10,21,15,23,30,7,23,8,5,18,23,3,2,14,34,17,17,12,15,18,6,25,18,5,11,25,9,16,22,7,14,9,7,19,12,2,3,24,24,15,23,10,10,23,3,18,5,2,12,17,13,18,6,7,13,16,2,20,11,11,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,1,1,1
16,72,33,46,143,132,160,167,78,150,100,39,160,156,45,38,181,146,210,159,113,165,117,43,166,79,15,81,159,130,169,183,64,160,115,67,152,178,35,93,103,151,174,155,95,99,208,55,177,98,42,85,151,72,168,98,49,161,85,16,179,63,26,28,0,2,0,6,1,1,12,3,10,7,10,10,27,19,13,13,13,13
17,80,19,49,122,156,129,161,80,148,96,53,135,142,40,55,195,154,233,160,152,134,82,78,166,104,31,110,149,95,171,135,94,136,132,58,191,151,37,113,115,208,183,194,115,128,201,59,182,108,47,105,160,110,157,138,66,164,99,25,220,66,35,35,0,1,6,4,1,1,8,3,14,11,14,18,21,15,11,11,11,11
18,36,20,17,80,68,69,80,40,75,59,24,58,47,20,18,119,60,118,57,70,66,42,23,87,39,14,59,67,63,100,62,28,86,53,34,68,88,23,54,65,68,95,93,49,46,82,26,90,40,20,43,52,36,64,49,24,92,52,23,90,35,16,17,2,0,1,1,1,2,3,0,2,3,3,14,20,10,8,8,8,8
19,2,4,2,9,12,9,13,7,8,4,1,3,4,1,2,9,9,5,8,7,7,2,0,3,2,2,9,8,9,7,4,3,6,9,2,8,4,0,1,11,1,0,9,3,8,11,6,10,2,1,1,4,9,3,2,2,6,6,4,10,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1,1
