ym,exchangerate
593,1273.9
594,1228.5
595,1248.9
596,1178.1
597,1182.5
598,1162.8
599,1164.5
600,1161.8
601,1160
602,1131.3
603,1108.4
604,1202.5
605,1222.2
606,1182.7
607,1198.1
608,1140.2
609,1125.3
610,1159.7
611,1134.8
612,1121.5
613,1128.7
614,1096.7
615,1071.5
616,1079.2
617,1067.7
618,1054.5
619,1066.8
620,1178.1
621,1110
622,1143
623,1151
624,1123
625,1118
626,1133
627,1130
628,1180
629,1145
630,1130
631,1134
632,1111.4
633,1090.7
634,1082.9
635,1070.6
636,1089
637,1083
638,1111
639,1101
640,1129.7
641,1142
642,1123.5
643,1110
644,1074.7
645,1060.7
646,1058.2
647,1055.4
648,1070.4
649,1067.5
650,1064.7
651,1033.2
652,1020.1
653,1011.8
654,1027.9
655,1014
656,1055.2
657,1068.5
658,1107.9
659,1099.3
660,1093.5
661,1098.4
662,1109.5
663,1072.4
664,1108.2
665,1115.5
666,1170
667,1182.5
668,1185.3
669,1140.1
670,1158.1
671,1172.5
672,1199.1
673,1236.7
674,1143.5
675,1139.3
676,1191.7
677,1151.8
678,1120.2
679,1114.8
680,1101.3
681,1144.5
682,1169.1
683,1207.7
684,1162.1
685,1130.7
686,1118.4
687,1137.9
688,1119.5
689,1144.1
690,1119
691,1127.8
692,1145.4
693,1120.4
694,1088.2
695,1070.5
696,1067.9
697,1082.8
698,1063.5
699,1068
700,1077.7
701,1114.5
702,1118.7
703,1112.9
704,1109.3
705,1139.6
706,1121.2
707,1115.7
708,1112.7
709,1124.7
710,1135.1
711,1168.2
712,1190.9
713,1154.7
714,1183.1
715,1211.2
716,1196.2
717,1163.4
718,1181.2
719,1156.4
720,1191.8
721,1213.7
722,1217.4
723,1218.2
724,1238.5
725,1203
726,1191.3
727,1187.8
728,1169.5
729,1135.1
730,1106.5
731,1086.3
732,1118.8
733,1123.5
734,1131.8
735,1112.3
736,1110.9
737,1126.1
738,1150.3
739,1159.5
740,1184
741,1168.6
742,1187.9
743,1188.8
744,1205.5
745,1202.3
746,1212.1
747,1255.9
748,1237.2
749,1298.4
750,1299.1
751,1337.6
752,1430.2
753,1424.3
