year,month,e9inflow,e9stock,,
2012,1,69,,,
2012,2,1648,,,
2012,3,8314,,,
2012,4,7968,,,
2012,5,9307,,,
2012,6,3573,,,
2012,7,2367,,,
2012,8,2528,,,
2012,9,1507,,,
2012,10,2625,,,
2012,11,2591,,,
2012,12,3135,,,
2013,1,3070,,,
2013,2,1219,,,
2013,3,2126,,,
2013,4,5250,,,
2013,5,6325,,,
2013,6,4402,,,
2013,7,7034,,,
2013,8,3289,,,
2013,9,4559,,,
2013,10,4768,,,
2013,11,1875,,,
2013,12,5050,,,
2014,1,2182,154774,,
2014,2,1357,155114,,
2014,3,1756,154948,,
2014,4,6215,158498,,
2014,5,5459,161778,,
2014,6,1892,161427,,
2014,7,4000,162473,,
2014,8,6296,166940,,
2014,9,2406,167704,,
2014,10,821,167789,,
2014,11,4755,171722,,
2014,12,3735,174698,,
2015,1,2367,176287,,
2015,2,1132,176455,,
2015,3,1516,175214,,
2015,4,3972,174080,,
2015,5,5367,175451,,
2015,6,4780,176425,,
2015,7,5449,178359,,
2015,8,2575,176856,,
2015,9,4069,177544,,
2015,10,3242,178952,,
2015,11,1477,179045,,
2015,12,4277,180231,,
2016,1,4212,178518,,
2016,2,1073,175274,,
2016,3,1754,171911,,
2016,4,6845,173404,,
2016,5,5049,174963,,
2016,6,6327,176736,,
2016,7,4253,177834,,
2016,8,4506,180385,,
2016,9,4515,182817,,
2016,10,2806,184174,,
2016,11,1583,184830,,
2016,12,4556,185855,,
2017,1,2485,180864,,
2017,2,967,176091,,
2017,3,2719,172823,,
2017,4,4289,173892,,
2017,5,3421,174712,,
2017,6,4780,176618,,
2017,7,4093,178357,,
2017,8,1991,177561,,
2017,9,4833,179073,,
2017,10,3599,180124,,
2017,11,1774,179791,,
2017,12,4489,182022,,
2018,1,4058,182584,,
2018,2,1082,178654,,
2018,3,2742,176938,,
2018,4,3879,175414,,
2018,5,4406,175740,,
2018,6,4726,176525,,
2018,7,4934,176545,,
2018,8,3094,176817,,
2018,9,3205,177235,,
2018,10,5345,179230,,
2018,11,1526,179000,,
2018,12,4694,181134,,
2019,1,2900,179562,,
2019,2,1621,177540,,
2019,3,3162,176250,,
2019,4,4925,177843,,
2019,5,2752,176254,,
2019,6,5072,176709,,
2019,7,3628,177397,,
2019,8,2004,177231,,
2019,9,4804,177675,,
2019,10,3171,178437,,
2019,11,819,177251,,
2019,12,5353,180324,,
2020,1,1956,179583,,
2020,2,892,176174,,
2020,3,798,170850,,
2020,4,18,167592,,
2020,5,26,164595,,
2020,6,80,161406,,
2020,7,195,158471,,
2020,8,63,156193,,
2020,9,89,153592,,
2020,10,233,151091,,
2020,11,176,148375,,
2020,12,280,146004,,
2021,1,251,143766,,
2021,2,287,140506,,
2021,3,591,136968,,
2021,4,677,133422,,
2021,5,487,132503,,
2021,6,562,130041,,
2021,7,477,131175,,
2021,8,164,130455,,
2021,9,681,130304,,
2021,10,677,129729,,
2021,11,948,129394,,
2021,12,1653,129393,,
2022,1,1867,129808,,
2022,2,1723,130074,,
2022,3,2802,131116,,
2022,4,3885,130728,,
2022,5,4132,131252,,
2022,6,4382,132125,,
2022,7,6121,133810,,
2022,8,8253,139053,,
2022,9,8245,144450,,
2022,10,9258,150371,,
