time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,ut,numD,numDfull,numDpart,numE,cpi,exchangerate,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9,wsim
2012. 01,624,0,100.479,97.82,95.332,107.358,98.844,66859,,3246257,3059532,172976,37955,91.242,1123,34079,3876,163358,72940,90418,155790,65833,89957,165369,64667,100702,62333,47967,14367,179.4,181.1,144.6,3744225,3862258,1325873,,
2012. 02,625,0,101.246,99.303,95.332,109.126,101.875,69709,,3265615,3073216,179741,38522,91.588,1118,35321,3201,141051,73813,67238,135062,67998,67065,120602,66889,53712,66245,53772,12473,188.1,190.2,144.9,2887333,2967186,1269691,,
2012. 03,626,0,97.987,97.123,95.512,106.79,98.72,69889,,3283115,3076653,194464,38818,91.614,1133,36139,2679,146394,79763,66631,138008,71574,66434,128234,70722,57512,71536,56326,15210,190.2,192.3,148.5,2859134,2935335,1307202,,
2012. 04,627,0,99.808,96.949,95.691,107.806,99.787,69111,,3283970,3084965,185969,38930,91.605,1130,36616,2314,125051,66323,58728,119920,61229,58691,125234,65457,59777,68151,52133,16018,186.4,188.1,150.2,2939925,3017626,1365463,,
2012. 05,628,0,100.767,99.651,95.781,108.021,100.7,70644,,3312754,3114083,186813,35285,91.769,1180,33441,1843,146554,70324,76229,140921,65044,75877,116592,61351,55240,64911,50825,14086,190.9,192.8,149.9,2710873,2776104,1346481,,
2012. 06,629,0,99.233,99.303,95.871,105.991,98.604,70096,,3313420,3124837,176751,37117,91.639,1145,35536,1581,113094,59370,53724,109648,55923,53724,112402,61961,50441,64054,51157,12897,184.7,186.5,146.7,2996288,3072556,1384403,,
2012. 07,630,0,100.384,95.554,95.781,104.565,98.266,72330,,3328941,3140103,175507,34317,91.432,1130,31877,2440,132100,64965,67134,122307,55235,67072,118078,56733,61344,61235,46380,14855,190,192.1,147,3130495,3218203,1335298,,
2012. 08,631,0,96.836,94.246,96.23,99.945,96.712,72358,,3329217,3150428,164972,31462,91.855,1134,29103,2360,120614,58220,62394,115882,53529,62353,120824,55331,65494,62905,46754,16150,180.2,182.2,140.4,2973576,3058965,1274769,,
2012. 09,632,0,98.178,99.913,96.05,102.529,97.677,71609,,3341585,3160092,168766,33173,92.512,1111.4,30119,3054,125853,60631,65221,121677,56923,64754,112395,54808,57586,60208,43696,16512,180.5,182.4,141.5,3508812,3612026,1323415,,
2012. 10,633,0,99.425,98.169,96.32,104.182,99.515,68419,,3350598,3165315,172702,42134,92.339,1090.7,39179,2955,120766,59193,61573,116430,54901,61529,111607,59894,51713,64337,49471,14867,184.9,187,139.7,2993888,3073717,1311933,,
2012. 11,634,0,99.425,98.779,96.499,104.823,100.44,67465,,3366063,3174328,180540,40645,92.011,1082.9,37223,3422,121219,61535,59684,115150,55529,59621,104368,55169,49199,56311,45212,11099,195.3,197.4,150.2,2708690,2771465,1341859,,
2012. 12,635,0,100.288,100.436,96.589,105.211,101.253,64734,,3359988,3165973,182630,44430,92.175,1070.6,39966,4464,104740,51816,52924,99947,47271,52675,111005,62220,48785,59718,46020,13699,178.3,179.9,145.6,3732696,3845441,1358055,,
