t,prod,L,Lfixed,vorig,vsim,vsimfixed,vsim_sticky,vsimfixed_sticky,worig,wsim,wsimfixed,wsim_sticky,wsimfixed_sticky,wsim_sticky_95,wsimfixed_sticky_95,uorig,usim,usimfixed,usim_sticky,usimfixed_sticky,f,vlong,ulong,vsim_bestfit,vsimfixed_bestfit,usim_bestfit,usimfixed_bestfit,wsim_bestfit,wsimfixed_bestfit
714,0.9923704,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
715,0.9952015,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
716,0.9956482,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
717,0.9930951,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
718,0.9879557,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
719,0.9807192,1,1,0.009518,0.014,0.014,0.014,0.014,0.8106189,0.99208127,0.99208115,0.8106189,0.8106189,0.8106189,0.8106189,0.0729055,0.080185685,0.08018571,0.080185685,0.08018571,0.934369,,,0.009227688,0.009227688,0.075413373,0.075413398,0.868558844,0.868558735
720,0.9707118,1,1,0.0088033,0.014132117,0.014132084,0.014132117,0.014132084,0.8102471,0.976854693,0.976853637,0.812281258,0.812281247,0.81893069,0.818930637,0.0758093,0.081427171,0.081427214,0.081427171,0.081427214,0.9330034,,,0.0097141,0.009714072,0.077009155,0.077009202,0.86837094,0.868369764
721,0.9584495,1,1,0.0087129,0.013509065,0.013508942,0.013509065,0.013508942,0.8100057,0.94863079,0.948626827,0.813644753,0.813644703,0.825415695,0.825415446,0.0770257,0.082510397,0.082510551,0.082510397,0.082510551,0.9311866,,,0.009626706,0.009626575,0.078628038,0.078628184,0.852930696,0.852925672
722,0.9462226,1,1,0.007624,0.012827251,0.012826795,0.012827251,0.012826795,0.8097938,0.925071884,0.925056939,0.814759025,0.814758826,0.830398504,0.830397521,0.0769328,0.083910725,0.083911302,0.083910725,0.083911302,0.9290124,,,0.009162748,0.009162242,0.080246222,0.080246749,0.831311824,0.831292319
723,0.9345339,1,1,0.006366,0.012157051,0.012155368,0.012157051,0.012155368,0.8098466,0.905940881,0.905884133,0.815670843,0.815670079,0.834175623,0.834171852,0.08023,0.085514416,0.085516588,0.085514416,0.085516588,0.9266169,,,0.008477642,0.008475745,0.081835007,0.081836964,0.806208554,0.806133195
724,0.9273676,1,1,0.0062978,0.011586876,0.011580675,0.011586876,0.011580675,0.8100711,0.888072568,0.887858495,0.81639486,0.816391963,0.83687047,0.836856184,0.0819719,0.087166664,0.087174845,0.087166664,0.087174845,0.9242758,,,0.007743074,0.00773602,0.083322861,0.08333019,0.778017637,0.777727845
725,0.9289133,1,1,0.0069148,0.011174338,0.011151464,0.011174338,0.011151464,0.8100795,0.87483006,0.874026361,0.816979212,0.816968307,0.83876845,0.838714693,0.0847505,0.088687723,0.088718526,0.088687723,0.088718526,0.9222249,,,0.007113027,0.007086857,0.084626412,0.084653919,0.75325404,0.752145677
