t,uib,ut
1,4.569852649,4.00 
2,4.450728452,3.90 
3,4.109809153,3.90 
4,3.996130806,3.50 
5,3.670683907,3.40 
6,3.488754876,3.50 
7,3.64226115,3.60 
8,4.056515391,4.70 
9,4.397943462,4.70 
10,4.460034022,4.20 
11,4.131174162,3.90 
12,3.778225387,3.30 
13,3.665025872,3.60 
14,3.558136164,3.80 
15,3.48789865,3.50 
16,3.416799451,3.60 
17,3.33847887,3.50 
18,3.284267878,3.10 
19,3.301182804,3.60 
20,3.776762596,3.80 
21,3.751174844,4.20 
22,4.030041991,4.30 
23,3.708421496,3.80 
24,3.498473244,3.30 
25,3.33903484,3.40 
26,3.234876726,3.40 
27,3.204091845,3.20 
28,3.039464381,3.10 
29,2.918445955,3.00 
30,2.926348089,3.00 
31,2.928506391,3.10 
32,3.404792231,3.40 
33,3.626263232,3.90 
34,3.671402887,3.70 
35,3.47659908,3.60 
36,3.388722404,3.30 
37,3.236002321,3.30 
38,3.261772974,3.20 
39,3.169049423,3.10 
40,3.053656547,3.10 
41,2.946709536,2.90 
42,2.89135888,2.90 
43,2.863402048,3.00 
44,3.540484546,3.30 
45,3.563118898,3.80 
46,3.667238983,3.60 
47,3.659790398,3.30 
48,3.470841261,3.20 
49,3.281671065,3.20 
50,3.361692319,3.30 
51,3.152654552,3.20 
52,2.981192015,2.90 
53,2.927635159,2.90 
54,2.76378267,2.80 
55,2.82726066,3.10 
56,3.978739359,3.40 
57,4.027912159,4.20 
58,4.198628699,4.00 
59,4.187532885,4.00 
60,3.921011416,3.70 
61,3.854691489,3.70 
62,3.983757602,3.60 
63,3.776140278,3.50 
64,3.621955956,3.30 
65,3.492659349,3.30 
66,3.300019567,3.20 
67,3.374629219,3.50 
68,4.013228938,3.562378
69,4.031333864,4.204769
70,4.323098202,4.013808
71,4.175467248,3.966562
72,3.824056975,3.862305
73,3.894563679,3.873754
74,3.902672025,3.647156
75,3.637400132,3.484788
76,3.467409653,3.26342
77,3.310651175,3.140854
78,3.117486385,3.137931
79,3.145454168,3.244421
80,3.691327695,3.587305
81,3.837299817,4.490225
82,4.082103667,4.317428
83,3.883789464,4.042314
84,3.825420526,3.736979
85,3.779945103,3.753717
86,3.744312952,3.631516
87,3.696691234,3.678761
88,3.417894571,3.677063
89,3.156091828,3.432647
90,3.152380709,3.191371
91,3.13878004,3.23094
92,3.558190995,3.549232
93,3.822345182,4.421402
94,3.990494887,4.156014
95,3.801182536,4.311029
96,3.718226327,3.677755
97,3.697887024,3.861695
98,3.649649697,3.488195
99,3.620109748,3.672686
100,3.476538398,3.473933
101,2.983205105,3.310425
102,3.119880335,3.241483
103,3.063789864,3.386302
104,3.789999312,3.513348
105,3.930847865,3.938463
106,4.221638067,4.513183
107,4.185010465,4.278399
108,4.101316506,4.150132
109,3.96487302,3.825591
110,4.059850359,3.837646
111,3.958976224,4.216049
112,3.560506848,3.820956
113,3.604143143,3.631105
114,3.442289978,3.392077
115,3.38536428,3.499392
116,4.201747593,3.8966
117,4.148713696,4.254008
118,4.519383714,4.384016
119,4.628272195,4.581128
120,4.462475988,4.170685
121,4.303781004,4.118262
122,4.423281866,3.985256
123,4.173486771,3.169195
124,3.897453216,3.279415
125,3.755392201,3.217781
126,3.601384086,3.219383
127,3.674495589,3.178271
128,4.389829954,3.474972
129,4.748920312,3.934033
130,5.471563899,4.175494
131,5.866773807,4.220562
132,6.06705505,4.636013
133,6.338950411,4.530778
134,6.486434376,4.161907
135,6.222554131,3.241721
136,6.144950783,3.783352
137,5.623274049,3.890908
138,5.297009328,3.654548
139,5.356946207,3.776337
140,6.001472845,4.592338
141,6.257123766,4.674795
142,6.756831999,4.437056
143,6.519993811,4.189453
144,6.188615661,4.140859
145,6.080450443,3.955363
146,5.947009828,3.343359
147,5.653677005,2.787608
148,5.323486826,2.796504
149,4.910940633,2.903275
150,4.679387662,2.722304
151,4.600766369,2.734228
152,5.230070862,3.030706
153,5.282591962,3.102092
154,5.834316962,3.082659
