ym,worknet_total,worknet_parttime,worknet_total_occ8,worknet_parttime_occ8,worknet_total_high,worknet_parttime_high
617,238305,6469,,,188166,5701
618,218651,6320,,,172958,5509
619,216379,5927,,,170931,5211
620,212379,6355,,,165259,5530
621,206629,6163,,,162758,5356
622,199812,5962,,,155144,5256
623,191797,6287,,,152163,5510
624,196441,6832,,,152923,5654
625,198249,7693,,,156874,6543
626,228714,9597,,,177147,8093
627,197030,7282,,,154696,6208
628,205081,7467,,,162791,6423
629,207357,8059,,,163986,6860
630,204503,7587,,,162424,6635
631,200223,7323,,,159392,6272
632,202999,7139,,,156815,6040
633,233316,7681,,,177664,6581
634,212535,7024,,,161055,5967
635,188850,6911,,,145139,5800
636,259402,10258,,,195811,8397
637,193588,8081,,,149253,6820
638,245165,10974,,,185798,8970
639,232001,9501,,,177434,7823
640,219200,9077,,,169307,7683
641,247098,13046,,,190846,10662
642,266380,12105,,,203665,10195
643,223529,9844,,,170976,8143
644,225986,10160,,,171471,8294
645,264932,11256,,,198802,9269
646,222106,9158,,,162875,7578
647,246474,11449,,,186637,9213
648,284752,13840,,,211574,11043
649,244539,11329,,,186418,9270
650,280059,16372,,,209956,13308
651,252959,12676,,,191638,10149
652,234718,10971,,,176926,8900
653,246780,12732,,,188291,10329
654,281079,14027,,,212252,11331
655,224514,10946,,,168029,8949
656,238096,12512,,,179502,10004
657,262684,13280,,,198400,10846
658,240340,11624,,,177457,9367
659,238324,11971,,,180307,9567
660,310133,16370,,,232823,12953
661,227153,12490,,,170622,9963
662,298777,18548,,,223905,14701
663,273895,15392,,,205969,12382
664,233867,12477,,,177135,10081
665,264023,14932,,,199434,12114
666,295437,16218,,,222431,12928
667,233801,12893,,,175338,10371
668,252823,14854,,,189636,11694
669,287765,16195,,,213854,13239
670,260079,14696,,,191612,12089
671,268769,15234,,,199922,12082
672,318510,19075,,,237387,15133
673,252481,15809,,,190284,12869
674,326003,21873,,,243264,17214
675,272865,16567,,,203554,13155
676,267056,17108,,,201674,13893
677,273157,19708,,,203599,15654
678,278072,18045,,,209880,14495
679,253888,16102,,,191766,12999
680,252580,16866,,,189354,13318
681,267034,17009,,,201282,13582
682,264551,17274,,,198376,13890
683,266052,17951,,,197853,14178
684,306694,22819,,,229281,18138
685,277012,22517,,,211684,18105
686,322444,26317,,,239916,20565
687,287637,21571,,,214465,17014
688,284298,20736,,,213250,16486
689,302328,23042,,,225061,18218
690,302674,22443,,,227202,17841
691,290160,22043,,,218622,17552
692,299237,22886,,,222652,17972
693,257696,19153,,,193697,15161
694,292732,22464,,,218609,17850
695,271538,20887,,,201388,16381
696,312383,27035,48492,2855,232866,21255
697,226087,23143,36036,2252,169870,18786
698,285146,27624,45769,2845,208065,21457
699,235667,21023,42463,2576,173826,16427
700,234423,19637,43142,2507,173740,15573
701,230725,19900,40140,2425,169711,15436
702,244440,21498,43867,2819,181311,16893
703,222341,19703,40628,2596,164778,15441
704,199639,17258,34508,2161,145416,13424
705,241419,21791,45346,2866,181667,17274
706,219629,20437,39983,2528,166513,16171
707,208018,19158,36278,2339,157828,15165
708,318483,31097,52697,3421,242971,24782
709,214384,21081,38151,2485,162609,16563
710,268579,27158,44192,2855,199347,20950
711,243694,22781,45034,2770,183235,17989
712,227916,21159,42602,2595,173665,17034
713,221045,20902,39823,2446,166154,16385
714,247872,22769,45822,2801,189216,18222
715,207819,19422,38489,2322,157800,15469
716,209393,20224,38456,2427,157230,15922
717,232991,21993,43461,2551,176743,17471
718,219812,22014,38852,2492,167900,17587
719,224717,22765,38487,2484,171696,17991
720,296370,29426,48565,3208,225652,22915
721,230796,24312,40585,2861,174913,19219
722,260222,27330,41430,2937,194001,21083
723,245319,24762,43579,3002,184700,19270
724,236605,24158,43903,2957,180075,19213
725,250993,25594,45510,3099,188377,20137
726,278915,29538,48230,3385,211581,23232
727,233877,24548,41381,2906,175885,19443
728,243616,25423,41205,3024,179458,19913
729,260136,27395,45222,3397,193015,21506
730,236334,25809,40594,2885,178926,20196
731,310432,34803,47554,3583,226268,26969
732,393390,44292,59913,4829,288264,33790
733,240205,28680,39409,3110,178148,21947
734,304555,40531,47046,4479,223274,31124
735,252602,34309,42003,4299,186002,26618
736,229263,31457,39603,4242,171378,24693
737,239865,33348,40497,4238,177178,26030
738,257084,34969,41997,4500,188199,27055
739,237802,33814,38463,4225,173891,26022
740,221381,32480,34673,3927,160923,24736
741,224945,33141,37164,4341,166096,25769
742,232830,34932,36974,4350,171160,26662
743,242668,36444,36678,4374,177125,27610
744,293816,45555,42741,5517,211348,33727
